Date,Hour,Value,MonthBlock,IsCancelled,IsPrivate
2025-01-01,13:00:00,H,1,0,0
2025-01-01,13:00:00,L,1,0,0
2025-01-02,13:00:00,H,1,0,0
2025-01-02,13:00:00,L,1,0,0
2025-01-02,13:00:00,P,1,0,0
2025-01-03,13:00:00,H,1,0,0
2025-01-03,13:00:00,L,1,0,0
2025-01-04,13:00:00,H,1,0,0
2025-01-05,13:00:00,H,1,0,0
2025-01-06,13:00:00,CANCELLED,1,1,0
2025-01-07,13:00:00,H,1,0,0
2025-01-07,13:00:00,L,1,0,0
2025-01-08,13:00:00,H,1,0,0
2025-01-09,13:00:00,H,1,0,0
2025-01-10,13:00:00,H,1,0,0
2025-01-11,13:00:00,H,1,0,0
2025-01-12,13:00:00,H,1,0,0
2025-01-12,13:00:00,P,1,0,0
2025-01-13,13:00:00,H,1,0,0
2025-01-13,13:00:00,L,1,0,0
2025-01-14,13:00:00,H,1,0,0
2025-01-14,13:00:00,L,1,0,0
2025-01-15,13:00:00,H,1,0,0
2025-01-15,13:00:00,L,1,0,0
2025-01-16,13:00:00,H,1,0,0
2025-01-16,13:00:00,L,1,0,0
2025-01-16,13:00:00,P,1,0,0
2025-01-17,13:00:00,H,1,0,0
2025-01-18,13:00:00,H,1,0,0
2025-01-19,13:00:00,H,1,0,0
2025-01-20,13:00:00,H,1,0,0
2025-01-21,13:00:00,H,1,0,0
2025-01-22,13:00:00,H,1,0,0
2025-01-23,13:00:00,H,1,0,0
2025-01-24,13:00:00,H,1,0,0
2025-01-25,13:00:00,P,1,0,0
2025-01-25,13:00:00,H,1,0,0
2025-01-26,13:00:00,H,1,0,0
2025-01-27,13:00:00,WBD,1,0,0
2025-01-28,13:00:00,H,1,0,0
2025-01-29,13:00:00,H,1,0,0
2025-01-30,13:00:00,CANCELLED,1,1,0
2025-01-31,13:00:00,CANCELLED,1,1,0
2025-02-22,09:00:00,H,2,0,0
2025-02-23,09:00:00,CANCELLED,2,1,0
2031-02-24,09:00:00,CANCELLED,2,1,0
2025-02-25,09:00:00,CANCELLED,2,1,0
2025-02-26,09:00:00,H,2,0,0
2025-02-26,09:00:00,P,2,0,0
2025-02-26,09:00:00,WBD,2,0,0
2025-02-27,09:00:00,CANCELLED,2,1,0
2025-02-28,09:00:00,CANCELLED,2,1,0
2025-02-01,13:00:00,H,2,0,0
2025-02-02,13:00:00,H,2,0,0
2025-02-03,13:00:00,CANCELLED,2,1,0
2025-02-04,13:00:00,CANCELLED,2,1,0
2025-02-05,13:00:00,CANCELLED,2,1,0
2025-02-06,13:00:00,CANCELLED,2,1,0
2025-02-07,13:00:00,H,2,0,0
2025-02-07,13:00:00,L,2,0,0
2025-02-07,13:00:00,P,2,0,0
2025-02-08,13:00:00,H,2,0,0
2025-02-09,13:00:00,H,2,0,0
2025-02-10,13:00:00,H,2,0,0
2025-02-11,13:00:00,H,2,0,0
2025-02-11,13:00:00,L,2,0,0
2025-02-12,13:00:00,H,2,0,0
2025-02-12,13:00:00,L,2,0,0
2025-02-13,13:00:00,H,2,0,0
2025-02-14,13:00:00,H,2,0,0
2025-02-14,13:00:00,L,2,0,0
2025-02-15,13:00:00,H,2,0,0
2025-02-16,13:00:00,H,2,0,0
2025-02-17,13:00:00,H,2,0,0
2025-02-17,13:00:00,WBD,2,0,0
2025-02-17,13:00:00,L,2,0,0
2025-02-18,13:00:00,H,2,0,0
2025-02-19,13:00:00,H,2,0,0
2025-02-19,13:00:00,WBD,2,0,0
2025-02-20,13:00:00,H,2,0,0
2025-02-21,13:00:00,H,2,0,0
2025-02-22,13:00:00,H,2,0,0
2025-02-23,13:00:00,H,2,0,0
2031-02-24,13:00:00,H,2,0,0
2025-02-25,13:00:00,H,2,0,0
2025-02-25,13:00:00,L,2,0,0
2025-02-26,13:00:00,H,2,0,0
2025-02-27,13:00:00,H,2,0,0
2025-02-27,13:00:00,WBD,2,0,0
